Date,Monthly Mean Total Sunspot Number,Sunspot_lag1,Diff_11Year,Diff_1Year,Rolling_11Yr,Month,Month_sin,Month_cos,Year
1749-12-31,142.0,264.3,45.3,-122.30000000000001,134.875,12,-2.4492935982947064e-16,1.0,1749
1750-01-31,122.2,142.0,17.900000000000006,-19.799999999999997,133.9,1,0.49999999999999994,0.8660254037844387,1750
1750-02-28,126.5,122.2,9.799999999999997,4.299999999999997,133.37142857142857,2,0.8660254037844386,0.5000000000000001,1750
1750-03-31,148.7,126.5,55.89999999999999,22.19999999999999,134.39333333333335,3,1.0,6.123233995736766e-17,1750
1750-04-30,147.2,148.7,5.5,-1.5,135.19375,4,0.8660254037844387,-0.4999999999999998,1750
1750-05-31,150.0,147.2,10.800000000000011,2.8000000000000114,136.06470588235294,5,0.49999999999999994,-0.8660254037844387,1750
1750-06-30,166.7,150.0,8.699999999999989,16.69999999999999,137.76666666666668,6,1.2246467991473532e-16,-1.0,1750
1750-07-31,142.3,166.7,31.80000000000001,-24.399999999999977,138.00526315789475,7,-0.4999999999999997,-0.8660254037844388,1750
1750-08-31,171.7,142.3,45.19999999999999,29.399999999999977,139.69,8,-0.8660254037844385,-0.5000000000000004,1750
1750-09-30,152.0,171.7,26.200000000000003,-19.69999999999999,140.2761904761905,9,-1.0,-1.8369701987210297e-16,1750
1750-10-31,109.5,152.0,-154.8,-42.5,138.87727272727273,10,-0.8660254037844386,0.5000000000000001,1750
1750-11-30,105.5,109.5,-36.5,-4.0,137.42608695652174,11,-0.5000000000000004,0.8660254037844384,1750
1750-12-31,125.7,105.5,3.5,20.200000000000003,136.9375,12,-2.4492935982947064e-16,1.0,1750
1751-01-31,116.7,125.7,-9.799999999999997,-9.0,136.128,1,0.49999999999999994,0.8660254037844387,1751
1751-02-28,72.5,116.7,-76.19999999999999,-44.2,133.68076923076922,2,0.8660254037844386,0.5000000000000001,1751
1751-03-31,75.5,72.5,-71.69999999999999,3.0,131.52592592592592,3,1.0,6.123233995736766e-17,1751
1751-04-30,94.0,75.5,-56.0,18.5,130.18571428571428,4,0.8660254037844387,-0.4999999999999998,1751
1751-05-31,101.2,94.0,-65.49999999999999,7.200000000000003,129.18620689655174,5,0.49999999999999994,-0.8660254037844387,1751
1751-06-30,84.5,101.2,-57.80000000000001,-16.700000000000003,127.69666666666667,6,1.2246467991473532e-16,-1.0,1751
1751-07-31,110.5,84.5,-61.19999999999999,26.0,127.14193548387097,7,-0.4999999999999997,-0.8660254037844388,1751
1751-08-31,99.7,110.5,-52.3,-10.799999999999997,126.284375,8,-0.8660254037844385,-0.5000000000000004,1751
1751-09-30,39.2,99.7,-70.3,-60.5,123.64545454545456,9,-1.0,-1.8369701987210297e-16,1751
1751-10-31,38.7,39.2,-66.8,-0.5,121.1470588235294,10,-0.8660254037844386,0.5000000000000001,1751
1751-11-30,47.5,38.7,-78.2,8.799999999999997,119.04285714285714,11,-0.5000000000000004,0.8660254037844384,1751
1751-12-31,73.3,47.5,-43.400000000000006,25.799999999999997,117.77222222222223,12,-2.4492935982947064e-16,1.0,1751
