Year,Month,Day,Diff_11Year,Sunspot_lag1,Sunspot_lag132,Sunspot_lag12,Diff_1Year,Month_sin,Month_cos,Year_sin,Year_cos,RollMean_11year,RollStd_11year,Gerçek_Sunspot,Tahmin_Sunspot,Hata
1997,8,31,25.800000000000004,12.9,9.9,19.7,22.800000000000004,-0.8660254037844385,-0.5000000000000004,-0.2817325568414228,-0.9594929736144994,97.41590909090908,79.46123432363713,35.7,32.93332783147772,2.766672168522284
1985,12,31,-13.8,17.9,29.6,21.4,-2.099999999999998,-2.4492935982947064e-16,1.0,0.2817325568414462,-0.9594929736144924,107.62045454545456,82.71107233505525,15.8,14.89856288725948,0.9014371127405205
1929,6,30,20.90000000000001,97.0,99.0,152.4,22.90000000000001,1.2246467991473532e-16,-1.0,0.7557495743542569,-0.6548607339452867,74.64545454545454,48.53800173852347,119.9,121.78868410089592,-1.8886841008959152
1992,7,31,-91.1,98.5,205.3,240.2,15.700000000000005,-0.4999999999999997,-0.8660254037844388,0.5406408174556019,0.8412535328311784,117.12121212121212,79.5791075331427,114.2,115.73808315751124,-1.5380831575112381
1900,12,31,-10.7,7.5,11.2,17.6,-7.0,-2.4492935982947064e-16,1.0,-0.989821441880932,-0.1423148382732907,69.5621212121212,49.65498142381012,0.5,1.582819413179424,-1.082819413179424
2019,7,31,-4.3,1.2,5.2,1.6,-0.2999999999999999,-0.4999999999999997,-0.8660254037844388,-0.2817325568414087,-0.9594929736145036,49.54166666666666,41.25024365723389,0.9,1.2364039142741945,-0.33640391427419447
2002,11,30,-12.300000000000011,151.2,159.5,176.6,-4.0,-0.5000000000000004,0.8660254037844384,8.822408798953651e-15,1.0,96.2280303030303,66.12155971153523,147.2,145.08371732383773,2.116282676162257
1880,4,30,-67.5,32.1,99.9,10.4,0.2999999999999971,0.8660254037844387,-0.4999999999999998,-0.5406408174556085,0.8412535328311741,88.60303030303031,80.9066873120873,32.4,30.609017656617066,1.7909823433829324
1884,5,31,-53.1,126.9,164.0,52.5,-16.0,0.4999999999999999,-0.8660254037844387,0.9898214418809328,-0.1423148382732849,57.692424242424245,43.92424710970594,110.9,111.33279760741347,-0.4327976074134625
1954,10,31,-2.5,2.3,13.0,12.3,8.2,-0.8660254037844386,0.5000000000000001,-0.7557495743542563,-0.6548607339452873,101.34015151515152,79.38920923833622,10.5,8.814080888564229,1.685919111435771
1860,3,31,-110.3,167.9,298.3,171.5,20.099999999999994,1.0,6.123233995736766e-17,0.5406408174555984,0.8412535328311807,92.03787878787878,60.693796016194575,188.0,188.6707658351309,-0.6707658351309078
1849,6,30,-3.4000000000000057,153.2,157.6,214.9,1.0,1.2246467991473532e-16,-1.0,0.5406408174555987,0.8412535328311805,100.87045454545456,70.9762456108605,154.2,153.8329891087268,0.3670108912731962
1868,6,30,-2.4000000000000057,44.5,54.2,2.8,7.299999999999997,1.2246467991473532e-16,-1.0,-0.9096319953545192,0.4154150130018848,95.68333333333332,57.9690219545003,51.8,52.35475640728801,-0.5547564072880107
1979,6,30,55.5,190.3,156.2,134.6,21.399999999999977,1.2246467991473532e-16,-1.0,-0.5406408174555924,0.8412535328311844,88.73484848484848,56.98999374451439,211.7,210.05104448774733,1.6489555122526554
1946,9,30,87.30000000000001,178.7,70.1,58.1,-21.299999999999983,-1.0,-1.8369701987210294e-16,-0.5406408174556098,0.8412535328311733,102.39090909090908,64.58787073820824,157.4,156.81617312099843,0.5838268790015775
1787,9,30,235.5,228.7,26.7,185.8,33.5,-1.0,-1.8369701987210294e-16,0.2817325568414301,-0.9594929736144971,122.0401515151515,83.4342259204141,262.2,273.9517514795868,-11.751751479586801
1932,6,30,-19.300000000000004,29.7,56.2,25.5,7.199999999999999,1.2246467991473532e-16,-1.0,-0.7557495743542566,-0.654860733945287,65.4969696969697,46.87199873651984,36.9,35.24239354275364,1.6576064572463594
1924,11,30,36.3,42.6,1.2,16.7,-5.100000000000001,-0.5000000000000004,0.8660254037844384,-0.5406408174556093,0.8412535328311735,69.94393939393939,56.2868773197493,37.5,38.69122309834643,-1.191223098346427
1849,11,30,59.0,135.7,129.2,191.0,52.5,-0.5000000000000004,0.8660254037844384,0.5406408174555987,0.8412535328311805,101.35227272727272,71.33421656407643,188.2,203.1595256079041,-14.959525607904112
1947,5,31,194.1,212.1,90.9,141.6,72.9,0.4999999999999999,-0.8660254037844387,2.941628240500001e-15,1.0,108.01439393939394,69.29895864365888,285.0,278.66754865485603,6.332451345143966
1936,4,30,71.8,128.4,53.0,20.4,-3.6000000000000085,0.8660254037844387,-0.4999999999999998,-1.8129724472473532e-14,1.0,69.08560606060605,47.80394619849875,124.8,124.48524006963581,0.3147599303641897
1931,9,30,-28.8,21.6,60.5,53.5,10.099999999999998,-1.0,-1.8369701987210294e-16,-0.2817325568414242,-0.959492973614499,67.38939393939394,45.7830934120661,31.7,33.07867494301863,-1.378674943018634
